"","uid","locality","assemblage","x","y","culture","cultural_period","regional_technocomplex","age_min","age_max","ochre","shell","ostrich_egg_shell","combustion_feature","burial","needle_eyed","point","bipoint","point_split_base","retoucher","preform","art","instrument","ornament","tg_1","tg_2","tg_3","tg_4","tg_5","tg_6","tg_7","tg_8","tg_9","tg_10","tg_11","tg_12","tg_13","tg_14","tg_15","tg_16","tg_17","tg_18"
"1",1,"Aar 1",204,16.488989,-26.772622,"MSA","MSA","Africa",30000,3e+05,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"2",2,"Aar 1",205,16.488989,-26.772622,"MSA/LSA","MSA/LSA","Africa",25000,40000,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"3",3,"Aar 1",206,16.488989,-26.772622,"-","-","-",25000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,"Aar 2",206,16.468356,-26.728179,"MSA","MSA","Africa",30000,3e+05,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"5",5,"Aar 2",207,16.468356,-26.728179,"-","-","-",6860,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,"Aar 2",207,16.468356,-26.728179,"-","-","-",6860,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,"Aasvoelkop",65,28,-26.17,"Pietersburg","MSA","Southern African",30000,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,"Abdur Archaeological Site",1,39.864369,15.151203,"MSA","MSA","Africa",118000,132000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"Abri Blanchard des Roches",1,1.101003,45.000152,"Aurignacian","Upper Paleolithic","Europe",30000,43000,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0
"10",10,"Abri Blanchard des Roches",2,1.101003,45.000152,"Aurignacian","Upper Paleolithic","Europe",30000,43000,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0
"11",11,"Abri Blanchard des Roches",3,1.101003,45.000152,"-","-","-",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
"12",12,"Abri Caminade",1,1.248703,44.868487,"Upper Paleolithic - Eurasia","Upper Paleolithic","Eurasia",30000,35130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"13",13,"Abri Caminade",2,1.248703,44.868487,"Aurignacian","Upper Paleolithic","Europe",33150,35130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"14",14,"Abri Caminade",3,1.248703,44.868487,"Aurignacian","Upper Paleolithic","Europe",33150,35130,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"15",15,"Abri Caminade",4,1.248703,44.868487,"Aurignacian","Upper Paleolithic","Europe",34300,36500,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"16",16,"Abri Caminade",5,1.248703,44.868487,"Aurignacian","Upper Paleolithic","Europe",35700,38700,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0
"17",17,"Abri Caminade",6,1.248703,44.868487,"Mousterian - Eurasia","Middle Paleolithic","Eurasia",35700,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"18",18,"Abri Caminade",7,1.248703,44.868487,"Mousterian - Eurasia","Middle Paleolithic","Eurasia",35700,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"19",19,"Abri Caminade",8,1.248703,44.868487,"Mousterian - Eurasia","Middle Paleolithic","Eurasia",35700,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
"20",20,"Abri Caminade",9,1.248703,44.868487,"Aurignacian","Upper Paleolithic","Europe",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0
"21",21,"Abri Caminade",10,1.248703,44.868487,"Aurignacian","Upper Paleolithic","Europe",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"22",22,"Abri Castanet",1,1.101332,44.999663,"Aurignacian","Upper Paleolithic","Europe",30000,43000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0
"23",23,"Abri Castanet",2,1.101332,44.999663,"Aurignacian","Upper Paleolithic","Europe",30000,43000,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0
"24",24,"Abri Castanet",3,1.101332,44.999663,"Aurignacian","Upper Paleolithic","Europe",31450,32950,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",25,"Abri Castanet",4,1.101332,44.999663,"Aurignacian","Upper Paleolithic","Europe",24710,34840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"26",26,"Abri Castanet",5,1.101332,44.999663,"-","-","-",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,"Abri Castanet",6,1.101332,44.999663,"-","-","-",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",28,"Abri Castanet",7,1.101332,44.999663,"-","-","-",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",29,"Abri Cellier",1,1.053517,44.992153,"Aurignacian","Upper Paleolithic","Europe",32000,32900,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"30",30,"Abri Cellier",2,1.053517,44.992153,"Aurignacian","Upper Paleolithic","Europe",33050,34150,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"31",31,"Abri Cellier",3,1.053517,44.992153,"-","-","-",33050,34150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",32,"Abri Cellier",4,1.053517,44.992153,"-","-","-",32000,32900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",33,"Abri Chadourne",1,1.01614,44.936467,"Mousterian - Eurasia","Middle Paleolithic","Eurasia",30000,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
"34",34,"Abri Chadourne",2,1.01614,44.936467,"Mousterian - Eurasia","Middle Paleolithic","Eurasia",30000,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
"35",35,"Abri Chadourne",3,1.01614,44.936467,"Mousterian - Eurasia","Middle Paleolithic","Eurasia",30000,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0
"36",36,"Abri Chadourne",4,1.01614,44.936467,"Mousterian - Eurasia","Middle Paleolithic","Eurasia",30000,3e+05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
"37",37,"Abri Chadourne",5,1.01614,44.936467,"Mousterian - Eurasia","Middle Paleolithic","Eurasia",30000,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"38",38,"Abri de Cro-Magnon",1,1.009982,44.940108,"-","-","-",11780,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",39,"Abri de Cro-Magnon",2,1.009982,44.940108,"-","-","-",11780,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",40,"Abri de Cro-Magnon",3,1.009982,44.940108,"-","-","-",11780,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",41,"Abri de Cro-Magnon",4,1.009982,44.940108,"-","-","-",11780,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",42,"Abri de Cro-Magnon",5,1.009982,44.940108,"-","-","-",11780,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",43,"Abri de Cro-Magnon",6,1.009982,44.940108,"-","-","-",11780,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",44,"Abri de Cro-Magnon",7,1.009982,44.940108,"-","-","-",11780,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,"Abri de Cro-Magnon",8,1.009982,44.940108,"-","-","-",11780,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",46,"Abri de Cro-Magnon",9,1.009982,44.940108,"-","-","-",11780,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",47,"Abri du Facteur",1,1.055363,44.977295,"Gravettian","Upper Paleolithic","Eurasia",25000,35000,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1
"48",48,"Abri du Facteur",2,1.055363,44.977295,"Upper Paleolithic - Eurasia","Upper Paleolithic","Eurasia",25000,43000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1
"49",49,"Abri du Facteur",3,1.055363,44.977295,"Aurignacian","Upper Paleolithic","Europe",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"50",50,"Abri du Facteur",4,1.055363,44.977295,"Aurignacian","Upper Paleolithic","Europe",30000,43000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"51",51,"Abri du Facteur",5,1.055363,44.977295,"Aurignacian","Upper Paleolithic","Europe",30000,43000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0
"52",52,"Abri du Facteur",6,1.055363,44.977295,"Aurignacian","Upper Paleolithic","Europe",30000,43000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"53",53,"Abri du Facteur",7,1.055363,44.977295,"-","-","-",25000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",54,"Abri du Facteur",8,1.055363,44.977295,"-","-","-",25000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",55,"Abri du Facteur",9,1.055363,44.977295,"-","-","-",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",56,"Abri du Facteur",10,1.055363,44.977295,"-","-","-",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",57,"Abri du Facteur",11,1.055363,44.977295,"-","-","-",30000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",58,"Abri du Maras",1,4.562827,44.312026,"Charentian La Ferrassie","Middle Paleolithic","Eurasia",80000,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"59",59,"Abri du Maras",2,4.562827,44.312026,"Charentian La Ferrassie","Middle Paleolithic","Eurasia",80000,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"60",60,"Abri du Maras",3,4.562827,44.312026,"Charentian La Ferrassie","Middle Paleolithic","Eurasia",80000,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"61",61,"Abri du Maras",4,4.562827,44.312026,"Charentian La Ferrassie","Middle Paleolithic","Eurasia",70000,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"62",62,"Abri du Maras",5,4.562827,44.312026,"Charentian La Ferrassie","Middle Paleolithic","Eurasia",30000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"63",63,"Abri du Maras",6,4.562827,44.312026,"Charentian La Ferrassie","Middle Paleolithic","Eurasia",30000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
"64",64,"Abri du Maras",7,4.562827,44.312026,"Late Mousterian - Eurasia","Middle Paleolithic","Eurasia",30000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"65",65,"Abri du Maras",8,4.562827,44.312026,"Late Mousterian - Eurasia","Middle Paleolithic","Eurasia",30000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
"66",66,"Abri I am Schulerloch",1,11.816944,48.927778,"Middle Paleolithic - Eurasia","Middle Paleolithic","Eurasia",46900,55900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
