cultural_period.A,median_dist,mean_dist,sd_dist,max_dist,median_jaccard,mean_jaccard,sd_jaccard,max_jaccard,pearson,kendall,spearman
-,2992459.3269563923,4021304.9347339836,2994887.893456985,11678837.407218885,0.33333333333333326,0.39127857472013317,0.23328427223410658,1,0.10071236516427862,0.004490330547983734,0.00886445658476355
Epipaleolithic,1961872.9199130854,1611682.9063942698,606546.8957178206,1961872.9199130854,1,0.8333333333333334,0.28867513459481287,1,1,1,1
ESA,1661167.0824057988,2377052.3340004585,1967721.9238013923,8046448.297965224,0.5,0.5234270307442562,0.27162958315749075,1,-0.11443359550715661,-0.1063971867673064,-0.14642082425118874
ESA/MSA,2035699.9235304776,2236009.0070155133,1474629.745201541,6835437.800278288,0.33333333333333326,0.35114237129943937,0.18254293865905427,1,-0.08885540234275292,-0.038690141630792325,-0.056717860253331726
Lower Paleolithic,1914612.8940275917,2032733.8869389624,1499125.0539963634,9817362.746760756,0.33333333333333326,0.4509897360396712,0.26038866920671944,1,-0.042421906800796834,-0.025855379814404306,-0.036846978572967266
LP/MP,127859.86581294148,384865.047568413,320541.77891817986,727538.6232423751,0.33333333333333326,0.445578231292517,0.20868531975732205,0.6666666666666666,0.9910102664504211,0.840168050416806,0.9074852129730302
LSA,2619692.085074944,2672169.2841122732,1907864.9791990865,7349954.483131845,0.33333333333333326,0.34416203009953006,0.17027543761104566,1,-0.06619187235787297,-0.03800936102477769,-0.055980964447483045
Microlithic,1768703.689782075,1768703.689782075,NA,1768703.689782075,0.25,0.25,NA,0.25,NA,NA,NA
Middle Paleolithic,1776256.6242374207,2165672.9327766527,1711438.918030489,10963048.897454396,0.375,0.3974943337465727,0.1959908363058381,1,-0.002828915232647166,-0.006819751642593128,-0.010033709357805258
MSA,1366845.8158773752,1912177.888440701,1592216.8010293639,7657821.664554966,0.33333333333333326,0.3535249588221433,0.18225420219687413,1,-0.037628886632570975,-0.017638831260749506,-0.02537841749888297
MSA/LSA,1560736.824001726,1771685.3432606047,1036276.7263036796,5297117.551300534,0.33333333333333326,0.3629711840762565,0.1596388365786568,1,-0.0313687497325885,-0.02108243438872538,-0.02951596394034932
Unknown,728847.8173278557,848337.9730538992,529637.6104568691,1589624.2857309699,0.5,0.5169484936831875,0.26453629557789005,1,0.24305827216319842,0.24164479236578398,0.33243874148760555
Upper Paleolithic,2133233.784522704,2748289.6062731617,2307577.3915512916,10961642.295412494,0.4,0.4015888731847475,0.17874776870596917,1,-0.06914780285444211,-0.04647143169179979,-0.06886130180018925
